"title"	"number"	"type"	"country"	"contractor"
"Provision of on request reporting services - Network of Correspondents - France"	"14-3030-39"	"requested"	"France"	"IR Share"
"Provision of on request reporting services - Network of Correspondents - Germany"	"14-3030-40"	"requested"	"Germany"	"Consortium Wirtschafts-und Sozialwissenschaftliches Institut in der Hans- B?ckler -Stiftung (WSI) and Institut der Deutschen Wirtschaft K?ln (IW)"
"Provision of on request reporting services - Network of Correspondents - Greece"	"14-3030-41"	"requested"	"Greece"	"Labour Institute of GSEE (INE/GSEE)"
"Provision of on-request reporting services - Network of Correspondents - Hungary "	"14-3030-42 "	"requested"	"Hungary "	"Policy Agenda Tanácsadó Kft. "
"Provision of on request reporting services - Network of Correspondents - Ireland"	"14-3030-43"	"requested"	"Ireland"	"Consortium IRN Publishing Ltd and National University of Ireland, University College Dublin (NUID UCD)"
"Provision of on request reporting services - Network of Correspondents - Italy"	"14-3030-44"	"requested"	"Italy"	"Fondazione Giacomo Brodolini"
"Provision of on request reporting services - Network of Correspondents - Latvia"	"14-3030-45"	"requested"	"Latvia"	
"Provision of on request reporting services - Network of Correspondents - Lithuania"	"14-3030-46"	"requested"	"Lithuania"	"Lithuanian Social Research Centre"
"Provision of on request reporting services - Network of Correspondents - Luxembourg"	"14-3030-47"	"requested"	"Luxembourg"	"Consortium IR Share and CEPS/INSTEAD"
"Provision of on request reporting services - Network of Correspondents - Malta"	"14-3030-48"	"requested"	"Malta"	"University of Malta"
"Provision of on-request reporting services - Network of Correspondents - the Netherlands "	"14-3030-49 "	"requested"	"Netherlands "	"Consoritum AIAS, University of Amsterdam (UvA) / TNO "
"Provision of on request reporting services - Network of Correspondents - Poland"	"14-3030-50"	"requested"	"Poland"	"Foundation Institute of Public Affairs (Fundacja Instytut Spraw Publicznych)"
"Provision of on request reporting services - Network of Correspondents - Portugal"	"14-3030-51"	"requested"	"Portugal"	"Consortium CESIS (Centro de estudos para a Intervencao Social) and ISCTE (Insituto Universitario de Lisboa)"
"Provision of on request reporting services - Network of Correspondents - Romania"	"14-3030-52"	"requested"	"Romania"	"European Institute of Romania "
"Provision of on request reporting services - Network of Correspondents - Slovakia"	"14-3030-53"	"requested"	"Slovakia"	"Institut pre vyskum prace a rodiny (Institute for Labour and Family Research)"
"Provision of on request reporting services - Network of Correspondents - Slovenia"	"14-3030-54"	"requested"	"Slovenia"	"Consortium Institute of Macroeconomic Analysis and Development (IMAD) and University of Ljubljana, Faculty of Social Sciences (FSS)"
"Provision of on request reporting services - Network of Correspondents - Spain"	"14-3030-55"	"requested"	"Spain"	"IKEI Research & Consultancy, S.A. 
(Instituto Vasco de Estudios e Investigacion S.A.)"
"Provision of on request reporting services - Network of Correspondents - Sweden "	"14-3030-56 "	"requested"	"Sweden "	"Oxford Research AB "
"Provision of on request reporting services - Network of Correspondents - United Kingdom"	"14-3030-57"	"requested"	"United Kingdom"	"University of Warwick"
"Provision of on request reporting services - Network of Correspondents - EU Level"	"14-3030-58"	"requested"	"EU Level"	"Institute for Employment Studies"
