85353,"Bulgaria: Supreme Court shuts down smartphone car service Uber ","127578,128226,128319,132779,132972,132999,133835,133855,134229,134251,134460,134461,134847,134958,134963,134964"
1154,"Individual employment relations","1380,107616,108863,114610,115134,123189,123191,135835,135840,143565,143573,143578,143583,143584,143587,143588,150511,150512,154265,155563,155565,155566,155567",04:23:01
1171,"Working time and work-life balance","1427,107835,107879,107881,108290,108761,108768,108770,108772,108773,108775,108776,112201,115295,115298,115303,115306,115548,115549,115551,115552,116739,122882,122884,123266,123270,123272,127589,127591,127592,135854,138411,138412,147730,147731,150519,150520,150521",04:23:18
1172,"Skills, learning and employability","1428,99806,101170,101200,107636,107639,107641,107701,108296,108302,108306,108311,108314,112147,112151,115707,115932,122061,135843,150523,150524,152935",04:23:48
1173,"Work organisation","1429,107703,107708,108786,108796,108797,115291,123258,123259,123260,123261,135849,150528,150529,150530,154261",04:24:02
4327,"Mission and tasks","8874,8909,70370,99166,99168,99169,99174,99365,102484,141992,142317,142320,142321,142323,142324,142325,142326",04:24:07
21267,"France: Older workers and employment","27993,102334,142103,157211,157402,157405,157428",04:24:12
53051,"Juan Menéndez-Valdés: CV","62803,69439,69440,69441,144572,144573,144576,155194,155196,155197",04:24:19
54467,"A sector perspective on working conditions","64219,107164,113118,113139,113140",04:24:22
54594,"Tackling the recession: Employment-related public initiatives in the EU Member States and Norway","64346,100014,100015",04:24:25
54642,"Very atypical work: Exploratory analysis of fourth European Working Conditions Survey - Background paper","64394,73467,73468",04:24:27
54689,"Absence from work - Executive summary","64441,100619,100621",04:24:28
54724,"Work-related stress - Executive summary","64476,98626,98630",04:24:36
54744,"Posted workers in the European Union - Executive summary","64496,97754,97757",04:24:46
54789,"Preparing for the upswing: training and qualification during the crisis - Executive summary","64541,100641,100642",04:24:53
54818,"Industrial relations and sustainability: the role of social partners in the transition towards a green economy","64570,98561,98562",04:25:01
54862,"Educational and training services: Anticipating the challenges - Executive summary","64614,98191,98194",04:25:03
54975,"Employment and industrial relations in the railways sector - Executive summary","64727,74857,157396",04:25:11
54998,"Organisation of working time: Implications for productivity and working conditions – Overview Report","64750,74738,74739,115500",04:25:19
55052,"Social and employment policies for a fair and competitive Europe - Background paper","64804,97722,97725,97733,97735,97736,97738,97739",04:25:23
55122,"Impact of the crisis on industrial relations - Executive summary","64874,75236,75238,75239",04:25:31
55127,"Impact of the crisis on working conditions in Europe - Executive summary","64879,75225,75240,75244,75246",04:25:41
55205,"Working conditions and job quality: Comparing sectors in Europe - Overview report","64957,66247,71771,74049,74829,98723,98724,99262,103336,103337,154421,157380,157381,157382,157406,157407,157408",04:25:54
55214,"Role of social dialogue in industrial policies - Executive summary","64966,66238,72604",04:26:11
55215,"Representativeness of the social partners in the European cross-industry social dialogue - Executive summary","64967,66225,71975,71977,71978,71980,72003,72004,72005,72006,72009,72011,72014,72019,72020,72021,72022,72024,72036,72038,72040,72041,72042,72043",04:26:19
55229,"Impact of the crisis on industrial relations and working conditions in Europe","64981,66198,66202,66205,69789,71699,75241",04:27:16
55249,"Changes to wage-setting mechanisms in the context of the crisis and the EU’s new economic governance regime - Executive summary","65001,66174,66315,69785",04:27:22
55537,"Working at Eurofound","65289,101135,101138,101149,101150,144860,144863,144866,144871,144875,144876,144877,145320,145321,145322,145600,145603,145615,147441,147442,147444,147446,147448,147449,147452,147454,147455,147456,147457,147460,147467,147468,147470,147472,147473,147474,147475,147476,147478,147479,147501,147502,147503,147504,147510,147513,147515,147517,147527,147529,147531,147534,147540,147547,147548,148229,149255,149259,149266,149267,149268,149271,149272",04:27:37
55571,"Rules for reimbursement","65323,101421,101422,101423,101424,101425,101426,103378,108859,108860",04:30:59
56374,"Network of European Correspondents","66159,99595,99596,101190,105047,115732,123311,127770,138603,138604,154664,154667,154668,154709,154711,154712,154718,154722,154725,154726,154733,154743,154752,155221,155222,157300,157301",04:31:02
56394,"Austria: Working life country profile","66504,67654,67656,67657,67660,68804,97970,99183,99366,99367,101277,128434,128435,128442,128449,128458,128481,128598,129181,129182,129564,133663,133997,134000,134021,134078,147202,153140,153960,153961,153964",04:31:05
56399,"Czech Republic: Working life country profile ","66509,68534,68944,100768,101284,128537,128538,128540,128626,129317,129320,129322,129324,129372,129373,129648,129652,129653,129656,129661,129665,129666,133667,134008,134027,134031,134032,134085,147199,153195,153975,153976,153977,154062",04:31:34
56400,"Denmark: Working life country profile","66510,68525,68890,100771,101285,128543,128544,128548,128629,129331,129376,129696,133669,134015,134028,134086,147196,153201,153979,154063",04:32:15
56401,"Estonia: Working life country profile","66511,68520,68521,68872,68873,100773,101286,128555,128561,128631,129381,129700,133670,134017,134029,134087,147194,153214,153980,153981,154064",04:32:35
56402,"Finland: Working life country profile","66512,69807,69808,69817,69907,69910,70418,70419,70420,100776,101290,129038,129039,129041,129043,129055,129176,129177,129406,129711,133672,134018,134030,134088,147193,153217,153986,153990,154066",04:32:54
56405,"Greece: Working life country profile","66515,67732,67733,69809,69908,69911,70444,100788,101297,128574,128583,128586,129413,129708,133675,134043,134045,134091,147187,147188,153232,154039,154041,154070",04:33:20
56416,"Portugal: Working life country profile","66526,68570,68571,68988,100829,101307,132511,132512,132513,132529,132531,132579,133693,134060,134104,147175,153301,154123",04:33:41
56417,"Romania: Working life country profile","66527,67735,68514,68838,100834,101306,132640,132717,132722,132725,132728,132730,133692,134061,134105,147166,147167,153303,154125",04:33:58
56418,"Slovakia: Working life country profile","66528,67594,67597,67598,67599,67601,67602,67603,67604,68700,68702,100836,100837,101305,132636,132638,132748,133694,134064,134107,147174,148269,148271,153305",04:34:17
56419,"Slovenia: Working life country profile","66529,68532,68533,68923,68928,100840,100841,101312,123081,132753,132754,133695,134065,134108,147173,153309",04:34:34
56420,"Spain: Working life country profile","66530,67701,67703,68812,100843,101311,132765,133696,134067,134109,147171,153310,154129",04:34:47
56421,"Sweden: Working life country profile ","66531,68599,68993,69008,100846,101310,132769,132772,133697,134071,134110,147170,153312",04:34:59
56422,"United Kingdom: Working life country profile","66532,67645,67648,68708,100847,100852,101309,132504,132509,132532,132534,132539,132581,133698,134072,134074,134111,147168,153313",04:35:18
56423,"Working life country profiles ","66533,69804,69805,69813,69906,69912,70421,70422,70521,70522,71489,73157,97874,97875,97876,98376,98395,98875,99171,99175,99271,99274,99310,99319,99320,100303,100418,100430,100448,101016,114109,115369,115972,115973,128465,128493,128508,128513,128531,128539,128549,128563,128567,128588,129040,129049,129071,129076,129078,129102,129111,129116,129118,129124,129127,129134,129499,132495,132536,132639,132674,132756,132767,132773,132782,133705,133706,133707,133708,133740,133741,133742,133784,134434,134435,143184,145998,146018,146793,146874,146925,146926,146927,147146,147725",04:36:11
56438,"Human Resources","66645,101941,125337,136288,137273,141591,148970,148971,148972",04:36:54
56439,"Research: Living Conditions and Quality of Life","66646,101952,140575,140576,140578,140579,140581,140604,140670,140726,140727,140729,140730,140731,140732,140733,141055,141058,141061,141082",04:36:59
56440,"Research: Employment and Change","66647,101950,102164,103958,140538,140566,141078,141079,141080,141840,142097",04:37:15
56441,"Information and Communication Technologies","66648,101944,136290,141608,148969,155734",04:37:20
56443,"Staff overview","66650,99550,102533,102535,102536,114589,114590,120596,141158,143027,143029,153145,153696,155141,155721,155746,155819,155820,155822,155837,155841,155850,155885,156043",04:37:21
56444,"Research units","66651,99505,101953,107508,129589,133514,134177,134178,137276,140117,140169,142179,148974,155742,155743,155744,155745,155804,155827",04:37:28
56445,"Operational Support","66652,99536,99537,116073,116451,116475,116525,127154,133516,136285,141626,143018,144607",04:37:32
56446,Directorate,"66653,101931,101938,101939,107509,141253,142506,142520,142522,142523,155531",04:37:34
56449,"Information and Communication","66656,99527,99528,100947,101943,107507,127152,127153,127950,127962,136287,137274,137275,141606,148976,152180,155533,155730,155736,155839,155854,155855,155858,155911,155915,155916",04:37:39
56450,"Administration and Finance","66657,101929,101937,136286,141255,143019,146667,146668",04:37:47
56454,"Brussels Liaison Office","66661,102302,120668,120669,120670,120683,120684,120794,120797,120798,120799,120805,120822,120935,120980,121002,121003,121032,121048,121054,121059,121103,121113,121131,121134,121137,121138,121139,121142,121176,121182,121187,121189,121190,121194,121199,121200,121209,121214,121224,121228,121234,121237,121240,121243,143718",04:37:50
56456,"Who we are","66663,101949,102312,102325,115967,118308,118323,120427,120429,120433,120486,120494,120495,120496,120591,120592,120721,120723,120724,120729,120754,120795,120819,120855,120866,120874,120887,120923,120930,120931,120946,120978,120979,120982,120999,121000,121001,121010,121016,121031,121051,121058,121102,121112,121120,121121,121122,121123,121126,121127,121128,121130,121158,121159,121165,121175,121181,121186,121191,121212,121215,121216,121223,121227,121236,121238,121356,121725,139082,139084,139100,139401,139403,139467,139541,139542,140055,140057,140059,141153,142887,144569,144574",04:39:31
56457,"Work programmes 1997 - 2016","66664,102491,102516,102517,120599,120602,120844,120856,120857,120892,120895,120897,120901,120903,120904,120906,120909,120910,120911,120912,120913,120916,120938,120949,120952,120957,120984,120986,121007,121034,121044,121055,121073,121078,121109,121110,121133,121161,121162,121211,121219,121221,121231,121232,121233,121242,156065,156066",04:42:39
56458,"What we do","66665,101976,101980,101994,102465,102492,102493,102494,102495,102539,120597,120603,120718,120730,120732,120738,120762,120825,120827,120841,120864,120868,120879,120888,120927,120932,120940,120954,120983,121006,121011,121035,121045,121052,121065,121105,121107,121108,121115,121116,121117,121118,121119,121124,121125,121132,121193,121217,121226,121230,121235,156055,156058,156059",04:44:27
56459,"Customised reports","66666,101995,102298,102304,102444,121015,121033,121043,121049,121053,121070,121104,121114,121135,121136,121140,121141,121157,121167,121178,121185,121192,121195,121201,121207,121208,121213,121225,121229,121241,121257,140485",04:46:50
56461,"Map and transport information","66668,115138,115139,115144,115145,115147,115576,124587,137119,137121,137197,137251,137252,137253,137346,137349",04:48:03
56462,FAQ,"66669,99218,99219,108597,115160,115165,115166,115167,137109,137199,138611,143013,155667",04:48:37
56463,"Records of the Bureau","66670,99521,99522,99597,134973,134974,134975",04:49:05
56464,Archives,"66671,99616,99617,99618,99621,99622,99624,121284,121285,121291,121292,121293,121294,142787,142788",04:49:06
56465,"Records of the Committee of Experts","66672,99523,99619",04:49:09
56467,"Public access to internal documents","66674,142738,142739,142750,142751,142752",04:49:10
56468,"Access to internal Eurofound documents","66675,115168,142741,142789,142861",04:49:23
56470,"Documents of general interest","66677,99214,99215,103552,103553",04:49:35
56482,"Governing Board","66689,139590,139591,142863,142868,142962,142965,142968,142969,142973,142974,142975,142976,142977,142978,142979,142995,142996,142998,142999,143000,143001,143002",04:49:36
56487,"Financial information 2004","66694,139767,141140,141144",04:49:42
56488,"Financial information 2008","66695,139754,139774,139786,141128,141200",04:49:43
56490,"Financial information","66697,139464,139465,139589,139609,139626,139631,139776,141215,141216,141218,149888,149889,149890,152733,152734",04:49:44
56491,"Financial information 2005","66698,139756,139790,141139,141203",04:49:48
56493,"Financial information 2007","66700,139755,139787,141137,141201",04:49:49
56494,"Financial information 2006","66701,139771,139788,139789,141138,141202",04:49:51
56496,"Access to information","66703,114191,114192,142755",04:49:54
56511,"European survey on working time and work-life balance (ESWT): Methodology ",66718,04:49:54
56523,"Social care","66730,121252,121254,121256",04:49:54
56528,Childcare,"66735,106250,116547,116548,118475",04:49:56
56538,"Low income and deprivation - Eurobarometer (2002) survey","66745,104361,104363,104368,105687",04:49:59
56565,"Examining the changing use of time","66772,143924,143953",04:50:01
56569,"CLIP - European network of cities for local integration policies for migrants","66776,108335,108345",04:50:01
56572,"About CLIP","66779,108336,108337,108347",04:50:03
56573,"Foundation seminar series: Age and work, connecting the generations, 2004-2005","66780,99717,99733,99837,143552",04:50:06
56577,"CLIP – Equality  and diversity in jobs and services: case studies","66784,103352,103353,103960,103961,103962,103963,103964,108329,108338",04:50:08
56579,"CLIP – Housing and integration of migrants in Europe","66786,103339,108308,108326,108412",04:50:10
56581,"CLIP – Housing and integration of migrants in Europe: case studies","66788,103342,103343,103345",04:50:11
56586,"Mobility in Europe - Conference and working papers (2003 - 2009)","66793,128609,128610,128615",04:50:12
56587,"Mobility and migration - Eurobarometer (2005) survey","66794,104342,104343,128452,128463,128503,128553,128554,128556",04:50:13
56592,"CLIP – Equality and diversity in jobs and services","66799,103347,103355,108323",04:50:15
56652,"Pacts for employment and competitiveness","66859,106508,106536,106543,143838",04:50:17
56674,"Case studies","66881,103311,103312,103313,103319,103327,103330,103340,103344,103348,103354,103361,103365,103366",04:50:19
56683,"Legal and data protection notices","66890,101785,101788,101790,101793,101794,101797,113211,113212,113264,113764,114260,117019,117025,117026,122184,122185,125780,125781,126015,126212,126764,145064,149223,149231",04:50:22
56745,"Third European Working Conditions Survey 2000 - Sector reports: Hotel and restaurant - Road transport","66952,118075,118080,118081,118082,118083,118084,118085",04:50:27
56788,"Denmark - Industrial relations links","66995,100769,119286,119287,119288",04:50:30
56790,"European and international employers' organisations","66997,144088,144110",04:50:31
56793,"Belgium - Industrial relations links","67000,99385,100715,100720",04:50:32
56803,"Austria - Industrial relations links","67010,99368,99372",04:50:33
56825,"Employment initiatives for an ageing workforce","67032,104234,104235",04:50:34
56851,"Social partners","67058,101974,102364,138607,138608,139073,139812,139813,140494,140496,140497,141867,144053",04:50:35
56852,"European Union","67059,101972,102295,102352,138609,139075,139545,139546,139547,139548,139549,139550,140462,140477,140479,140481,140482,140483,140484,140489,140490,141677,142889,142890,142891,142892,142893,142894",04:50:38
56853,"Stakeholders and Partners","67060,101971,102293,120838,121168,139067,139528,139529,139531,139533,139536,139537,139818,139822,139824,140305,140453,140454,140464,140465,140472,140473,140474",04:50:47
56854,Others,"67061,101975,138605,138606,139080,139814,139815,139816,140498,140501,141872,142907,144057,144059,157337,157338",04:50:54
56855,Governments,"67062,101973,102363,138610,139077,139806,139807,139809,140487,140488,140492,140493,141724,143719",04:50:58
56857,"ERM - Network of correspondents","67064,116208,122628,126537,126538,126539,127996,128005,138013,141145,142731,142733,142734,142735,142737,142742,151215",04:51:01
56904,"Financial information 2009","67111,139753,139768,139785,141126",04:51:06
56937,"CLIP - Intercultural policies in European cities","67144,103360,103966,103985,103986,108330",04:51:07
56938,"CLIP – Intercultural policies in European cities: case studies","67145,103969,103972,103973,103975,103976,103977",04:51:08
56940,"Financial information 2010","67147,139750,139784,141125,141199,141227",04:51:09
56952,"Managing household debts: Social service provision in the EU","67159,106838,112262,112365",04:51:11
56967,"About Eurofound","67174,101986,108680,118577,118578,118579,118580,118581,118604,118605,118734,119295,119381,119382,119383,119384,119513,119514,119515,119516,119518,119521,120590,120650,120725,120726,120727,120728,120746,120749,120817,120852,120865,120869,120885,120917,120919,120921,120924,120926,120928,120929,120941,120956,120993,121008,121029,121047,121050,121079,121111,121129,121222,138825,139061,139351,139397,139399,139543,139669,154419,154420,155668,155669,155790",04:51:13
56976,"CLIP – Ethnic entrepreneurship","67183,103364,108331,108333",04:53:55
56987,"European Jobs Monitor","67194,100234,102532,107337,107339,107346,107351,116973,118634,118635,118637,118644,140703,143971,144005,144006,144010,144011,144013,144014,144016,149498,149499,149500,149501",04:53:56
56992,"Financial information 2011","67199,139625,139782,141123,141124,141224",04:54:06
56999,"Research: Working Conditions and Industrial Relations","67206,101951,121370,121378,122042,122043,122044,122045,122811,122819,140542,140546,140555,140562,140563,140608,140609,140610,140611,140642,140644,140645,140960,140961,140964",04:54:07
57005,"European and international collaboration","67212,114527,147080,147088",04:54:11
57015,"Born globals: young firms that internationalise rapidly","67222,100274,100278",04:54:13
57019,"Labour market research","67226,100228,100270,100277,102713,102715,102747,102748,102752,102756,102760,103062,103452,103470,103494,103667,103668,103917,103918,103919,107446,107447,107670,107672,107723,107738,108751,108754,108757,111890,111895,111899,114632,115714,115716,115725,115728,115735,115737,116647,116651,121758,121760,121761,121763,121808,124780,124783,128020,128021,135112,135273,136082,136083,136084,136136,136142,136161,136818,136828,136830,139221,140134,143775,145552,145555,151793,153435,153742,153744,153794,153798,153800,153848,153853",04:54:14
57022,"Young people and 'NEETs'","67229,115761,115763,129545,129548,129549",04:54:34
57025,Methodology,"67232,118638,118639,118640,144008",04:54:39
57026,"Summary of recent results","67233,98365,118641,118642",04:54:40
57028,Procurement,"67235,100488,123866,135529,135531,135532,135538,135541,135634,135636,135637,135638,138260,138262,139148,141725,142939,147137,153166",04:54:41
57035,"Financial information 2012","67242,139624,139781,141121,141221,141222",04:54:45
57038,"Income from work after retirement","67245,106843,106846,118487",04:54:46
57046,"Eurofound - Audits by Internal Audit Service (IAS)","67253,127905,127906,127907,127908",04:54:49
57047,"New forms of employment","67254,103456,103471,103487,103489,103974,103978,103979,103981,104231,104236,104239,104240,104241,104244,104258,104259,106422,108779,108789,112219,112220,112221,116213,116541,124647,124648,124652,126018,126055,126056,126059,126060,126079,153857,153861,153867,153868,153876,153877,153878,153879",04:54:50
57048,"Effects of restructuring at regional level","67255,100263,100265,100266,133197,133198",04:55:42
57056,"Call for Expression of Interest (CEI) establishing a list of pre-selected candidates for provision of services related to research activities of Eurofound","67263,123862,123863",04:55:45
57074,"Financial information 2013","67281,139623,139780,141120,141220",04:55:45
57077,"Annual report 2013","67284,103514,103515,103516",04:55:46
57082,"Job creation in SMEs","67289,103493,103877,128019,128079,128080,135113,135114,135151,135277",04:55:49
57087,"Contracts awarded in 2014","67294,115377,115379,115990,116082,116489",04:55:53
57092,"Annual reports","67299,99115,99123,99126,99132,99133,99155,99164,99194,99196,114942,114944,114945,114946,114947,114949,114950,142076,142992,142993,143656",04:55:55
57119,"EWCS 2005: Research reports - Secondary analysis","67326,113167,113188,113197,113200,113203,113210",04:56:02
57132,"EWCS 2005: A sector perspective on working conditions in the EU","67339,113129,113138",04:56:02
57141,"Surveys schedule","67348,141618,141620,141621,141622,141623,141625,141627,141630,141813,141848,141850,141852,141853,147067",04:56:02
57142,Surveys,"67349,108847,118279,123907,141945,143015",04:56:38
57144,"European Working Conditions Surveys (EWCS)","67351,99098,100344,100346,100414,100536,100828,100891,100895,135196",04:56:52
57145,"EWCS 2010 - Coding","67352,147058",04:57:18
57149,"EWCS 2010 - Quality assurance","67356,108851,108852",04:57:18
57150,"EWCS 2010 - Questionnaire development","67357,147064",04:57:18
57151,"EWCS 2010 - Questionnaire","67358,103502,103503",04:57:18
57152,"EWCS 2010 - Questionnaire translation","67359,103500",04:57:19
57153,"EWCS 2010 - Sampling","67360,128345,147056,147057,149052,149706,149707,149718",04:57:19
57155,"EWCS 2010 - Weighting",67362,04:57:37
57160,"Data availability","67367,115489,138675,141590,147068,152995,153000,154671",04:57:39
57172,"European Quality of Life Surveys (EQLS)","67379,116991,116992,135000,135020,135039,135042,141856,141868,141869,141870,141883,143739,143741,143742,143770,144143,144151,149844,149872,149874,149879,149881,150400,154270,154271,154272,154273,154275",04:57:56
57182,"EQLS 2003: Main findings","67389,106529,106530,106533",04:59:08
57215,"EWCS 2005 - Methodology",67422,04:59:10
57221,"EWCS 2005 - Questionnaire development","67428,113231",04:59:10
57235,"EWCS 2010 - E-book","67442,145757,145760",04:59:10
57236,"EQLS 2012 - Questionnaire translation",67443,04:59:11
57237,"EQLS 2012 - Questionnaire","67444,148677,148678",04:59:11
57245,"European Company Surveys","67452,101996,104591,107587,115263,115264,132940,132941,132942,132943,132944,132945,146895,146898",04:59:11
57246,"ECS 2013 - Questionnaire","67453,147024,147026",04:59:45
57249,"ECS 2013 - Questionnaire translation","67456,146909",04:59:51
57252,"ECS 2013 – Coding","67459,147032,147033",04:59:51
57255,"ECS 2013 – Quality assurance and quality control","67462,146908,146915,146919",04:59:52
57256,"ECS 2013 – Methodology","67463,145753,146911,146913,146914",04:59:52
57258,"Comparing working conditions across sectors in Europe","67465,99992,100031,100036,100042,100074,102208,102213,102214,102215,102216,102217,102219,102221",04:59:53
57259,"OLD PAGE - EQLS 2012 - Reports and policy briefs: Tracking quality of life in Europe","67466,103314,103350,103559,103562,103563,103564,103566,103567,103568,115490,115491,115492",04:59:56
57260,"European Quality of Life Survey 2012","67467,116747,116749,117004,150432",04:59:57
57353,"EU-level developments","67719,111290,115694,115706,116834,116840,124188,135855,138803,138805",05:00:09
58155,"Staff list","69399,99503,99504,99546,100946,100953,102285,107505,112984,114519,117309,120589,120658,122467,123386,124996,127149,127951,133515,134354,134384,136195,136284,137278,137280,138709,138888,138889,140115,141052,142837,144563,144608,144828,146666,148968,150778,151266,151268,152178,152188,153043,153146,155191,155724,155726",05:00:13
58177,"Bulgaria - Industrial relations links","70288,99801,100500,100501,100754",05:00:20
58195,Pay,"70423,70434,99353,99354,99386,99387,99388,99420,99662,99670,101807,107646,107648,107650,107651,107652,108813,108818,108838,108839,115283,123193,123194,123195,135845,140330,140332,147727,150506,150507",05:00:21
58205,"European Industrial Relations Dictionary - Discrimination and equality in employment","70448,122493,122494",05:00:38
58206,"European Industrial Relations Dictionary - Health and safety","70450,122664,122723",05:00:39
58636,"Representativeness studies","73086,99129,99130,99134,99135,100208,100211,102357,102828,106668,119098,119099,119100,119137,119201,119239,119462,119472,123996,124294,124369,125006,134451,135703,136175,136182,136942,136943,137318,137530,137533,137534,138551,138552,138553,142448,142460,143754,144776,152979,153463,155348,156683,156727",05:00:39
58637,"Representativeness studies: methodology","73093,99112,99114,99119,99122,99343,99345,99418,99421,99422,99425,99453,99459,99460,99463,99468",05:00:58
58772,"Information on traineeships","73684,73881,99237,99260,99261,99288,99289,99306,99308,99311,99312,99314,99315,99318,101477,102988,106965,118178,119095,129742,129748,129751,129753,129755,129756,129757,129758,129760,129763,129765,129768,129770,129771,129773,129775,129776,129777,129778,129785,129787,129790,129791,129792,129793,129794,129795,129796,129800,129802,129804,132218,132219,132220,132221,132222,132223,132261,132262,132400,132407,133005,133397,133398,133558,133560,134550,134553,134554,149618,149619,149917,149918,149919,151342,154979,154985,155037,155317",05:01:04
58774,"About EurWORK","73698,116843,135084,152931,152932",05:01:13
58775,"A trainee's experience - WCIR unit","73699,99240,99259,99287,118176,118177",05:01:14
58822,"EWCS 2010 - Mapping working conditions in Europe: all reports","74012,106988,120404,120405,122062,122734,122735,122748,122749,122750,122766,122767,122768,122769,122810,128388,145762",05:01:16
78207,"Login required","98938,103615,103616,103617,103618,103619,103620,103621,103622,103623,103624,103650,103651,104197,104242,104243,104579,105482,105483,105485,105486,105487,105489,105490,113620,113621,113622,113623,113624,113625,113626",05:01:18
78325,"Third European Working Conditions Survey (2000)","100345,100351,100373",05:01:20
78338,"First European Working Conditions Survey (1991)","100413,100452,100453",05:01:21
78345,"Second European Working Conditions Survey (1996)","100472,100535",05:01:21
78559,"European survey on working time and work-life balance (ESWT): Reports","101894,101895,101900,101901,101903,101904,101906,101908,101910,101915,101916,101917,101918,101919,101920,101921,101922,101958,101959,101960,101961,101962,101963,101964,101965,101967,101968,101987,101991,147019,147022",05:01:21
78685,"Labour mobility in the EU: Recent trends and policies","102740,102741,103920,128821,136167",05:01:24
78795,"Start-up support for young people","103660,136832,137056,137058,139236,139378,139388,139563,139573,139575",05:01:25
78982,"Network of European Correspondents annual meeting - 25-26 March 2015","104009,104011,104018,104019,104081",05:01:29
79019,"Page not found","104251,104252,104254,104266,104575,104576,113591,113619",05:01:30
79260,"EQLS 2003: Analytical reports","105919,106515,106527,106532,106577",05:01:30
79268,Blanco,"106011,106302,150962,151966,152947,152965,152969,155352,155353",05:01:31
79269,"Case studies: Pacts for employment and competitiveness","106051,106223,106232,106282,106283,106315,106340,106350,106361,106388,106402,106411,106419,106477,106479,106506,106542",05:01:41
79386,"Access to benefits in times of crisis","106830,106850,106852,106854,106894,106895,106896,123808,123918,123919",05:01:42
79394,"A trainee's experience - European Monitoring Centre on Change","106959,106962,143776",05:01:47
79456,"Youth entrepreneurship in the EU – values, attitudes, policies","107668,107671,107726",05:01:48
79478,"Bulgaria: Employers obligation to provide skill development plans or training","107911,115686,119049,119081,119414,121836",05:01:50
79486,"Austria: Working time flexibility","107919,116429,116682,116683,119078,120238,120371,120373,121823,121824,121825,122470,122471",05:01:54
